role,player_id,player,n_obs,arima_order,arima_next_forecast
Defender,36,T. Alderweireld,109,"(0, 1, 1)",13.765958740937634
Defender,48,J. Vertonghen,109,"(1, 1, 0)",13.979598305024878
Defender,74,R. Klavan,35,"(1, 1, 0)",13.811700886874396
Defender,77,N. Moisander,30,"(0, 1, 1)",14.445943336424488
Defender,102,Marcelo,40,"(1, 1, 0)",13.905241189101234
Defender,107,E. Pieters,38,"(1, 1, 0)",14.329233198638985
Defender,110,J. Willems,37,"(0, 1, 1)",15.390782845649472
Defender,130,S. de Vrij,37,"(0, 1, 1)",13.656057693719264
Defender,132,T. Kongolo,30,"(0, 1, 1)",14.19249373546259
Defender,134,B. Martins Indi,36,"(1, 1, 0)",13.33260196846928
Defender,159,J. Gouweleeuw,38,"(1, 1, 0)",14.11985360543023
Defender,160,D. Janmaat,39,"(0, 1, 1)",15.403762008414352
Defender,192,J. Vukovi\u0107,13,"(1, 1, 0)",13.573396813247285
Defender,254,R. Rosales,37,"(1, 1, 0)",13.7119416686914
Defender,284,M. van der Hoorn,37,"(1, 0, 0)",13.978986882135025
Defender,340,Cuco Martina,29,"(1, 1, 0)",15.378598345017412
Defender,370,V. van Dijk,34,"(1, 0, 0)",14.151469500435303
Defender,394,B. Nuytinck,38,"(0, 1, 1)",13.82002206419473
Defender,454,P. van Aanholt,38,"(1, 1, 0)",14.208533963298748
Defender,703,M. Yoshida,46,"(1, 1, 0)",14.188215744694768
Defender,1712,K. Tete,31,"(1, 1, 0)",15.224834581431764
Defender,3269,Jordi Alba,107,"(0, 1, 1)",14.420984039880235
Defender,3276,A. Rami,98,"(0, 1, 1)",13.360591979006003
Defender,3277,V\u00edctor Ru\u00edz,38,"(0, 1, 1)",13.495215441721001
Defender,3278,Bruno Saltor,38,"(0, 1, 1)",13.943119081251425
Defender,3300,Albiol,38,"(0, 1, 1)",13.927810717371162
Defender,3304,Nacho,43,"(0, 1, 1)",13.833625027837002
Defender,3306,Sergio Ramos,107,"(0, 1, 1)",13.783606834292913
Defender,3308,Pedro Mendes,41,"(1, 1, 0)",13.968003736581373
Defender,3309,R. Varane,43,"(0, 1, 1)",13.79452841648268
Defender,3310,Marcelo,45,"(0, 1, 1)",15.922471778688589
Defender,3325,Juanfran,38,"(0, 1, 1)",14.269014914766057
Defender,3335,Bartra,39,"(1, 1, 0)",14.812847707257083
Defender,3339,Montoya,35,"(0, 1, 1)",13.924509066981082
Defender,3340,Muniesa,35,"(0, 1, 1)",14.309576378717319
Defender,3341,Piqu\u00e9,107,"(0, 1, 1)",13.696886964012787
Defender,3347,Sergi Roberto,35,"(0, 1, 1)",14.329730906388113
Defender,3351,Kiko Femen\u00eda,37,"(1, 1, 0)",14.420264489232519
Defender,3408,Saborit,36,"(0, 1, 1)",14.026266610912549
Defender,3431,Jo\u00e3o Miranda,46,"(1, 1, 0)",13.215511629999414
Defender,3433,D. God\u00edn,44,"(0, 1, 1)",14.12490475295155
Defender,3434,Filipe Luis,42,"(0, 1, 1)",15.013447447268724
Defender,3436,Javi Manquillo,28,"(0, 1, 1)",14.374904123478
Defender,3447,Juanfran,100,"(0, 1, 1)",14.56628070350731
Defender,3460,Coke,29,"(0, 1, 1)",16.567727438536025
Defender,3463,F. Fazio,39,"(1, 1, 0)",13.8741160394709
Defender,3465,Fernando Navarro,35,"(1, 1, 0)",13.7708187954792
Defender,3466,Alexis,38,"(0, 1, 1)",13.738129594743311
Defender,3496,Sergio Postigo,38,"(0, 1, 1)",13.655319680049987
Defender,3523,F. Lejeune,39,"(1, 1, 0)",13.93770305037876
Defender,3526,M. Musacchio,34,"(1, 1, 0)",14.31053468427615
Defender,3529,Mario,34,"(1, 1, 0)",15.337821217962594
Defender,3642,Ramis,33,"(1, 1, 0)",14.559238417951624
Defender,3671,\u00cd\u00f1igo Mart\u00ednez,34,"(0, 1, 1)",13.43553701601055
Defender,3692,Bernardo Espinosa,38,"(0, 1, 1)",13.605703044680059
Defender,3695,\u00c1lvaro Gonz\u00e1lez,38,"(0, 1, 1)",13.7997760215679
Defender,3788,Jordi Amat,35,"(1, 1, 0)",13.998993182560332
Defender,3791,Z. Feddal,24,"(0, 1, 1)",13.751941216595075
Defender,3795,H. Moreno,40,"(1, 1, 0)",13.460865255054934
Defender,3798,D\u00eddac Vil\u00e1,36,"(0, 1, 1)",14.126969610954323
Defender,3806,Javi L\u00f3pez,39,"(0, 1, 1)",15.11069720129369
Defender,3827,Hugo Mallo,39,"(0, 1, 1)",14.475131929382297
Defender,3828,Ra\u00fal Navas,38,"(0, 1, 1)",13.821316221216108
Defender,3885,L. Cabrera,35,"(0, 1, 1)",13.31180839208668
Defender,3916,G. Cabral,37,"(0, 1, 1)",14.010725542270404
Defender,3920,Pedro L\u00f3pez,33,"(1, 1, 0)",14.765498178364473
Defender,3970,G\u00e1lvez,35,"(0, 1, 1)",14.587063944881425
Defender,3974,D. Su\u00e1rez,36,"(0, 1, 1)",13.918788760805247
Defender,4065,J. Murillo,37,"(0, 1, 1)",13.346432496132262
Defender,4094,Ander Capa,35,"(1, 1, 0)",15.563399405486171
Defender,4180,Lomb\u00e1n,32,"(1, 1, 0)",13.439239844509999
Defender,4238,M\u00edchel,38,"(0, 1, 1)",16.188753266237587
Defender,4303,David L\u00f3pez,39,"(0, 1, 1)",13.519790034493802
Defender,4358,Laguardia,15,"(0, 1, 1)",13.359531102342407
Defender,4360,Juanpe,37,"(0, 1, 1)",13.42699020584635
Defender,4424,Jonny,39,"(0, 1, 1)",14.488113366832907
Defender,4452,Yuri Berchiche,38,"(1, 1, 0)",14.989231463505465
Defender,4501,Daniel Carvajal,45,"(0, 1, 1)",15.835588404078889
Defender,4780,David Junc\u00e0,31,"(0, 1, 1)",14.362221444892526
Defender,4786,Iv\u00e1n Balliu,38,"(1, 1, 0)",14.272273920167777
Defender,4805,Arbilla,35,"(0, 1, 1)",14.005280219324826
Defender,4908,Alberto Moreno,38,"(1, 1, 0)",15.81173269908607
Defender,5281,A. Nyom,39,"(1, 0, 0)",14.153521943170027
Defender,5472,Luis Hern\u00e1ndez,38,"(1, 1, 0)",13.188610177717907
Defender,5677,Bruno,36,"(0, 1, 1)",13.42699020584635
Defender,6210,Aday,38,"(0, 1, 1)",15.483529434054482
Defender,6281,Zald\u00faa,38,"(0, 1, 1)",14.112209526954256
Defender,6365,Bustinza,38,"(0, 1, 1)",13.072883714272212
Defender,6513,Ra\u00fal Garc\u00eda,30,"(0, 1, 1)",14.04057006813943
Defender,7302,Albentosa,29,"(0, 1, 1)",13.937198014691951
Defender,7853,K. Gibbs,35,"(1, 0, 0)",13.565314984163795
Defender,7855,L. Koscielny,91,"(0, 1, 1)",13.388612921421378
Defender,7857,Miquel,20,"(0, 1, 1)",13.775489078054905
Defender,7860,T. Vermaelen,108,"(0, 1, 1)",14.107277515393365
Defender,7885,R. Bertrand,99,"(0, 1, 1)",14.834031395700409
Defender,7887,G. Cahill,101,"(0, 1, 1)",13.971068048145865
Defender,7914,J. Evans,97,"(0, 1, 1)",15.001678178744804
Defender,7915,P. Evra,99,"(0, 1, 1)",15.215132155166865
Defender,7918,P. Jones,46,"(1, 1, 0)",13.42863499037028
Defender,7919,M. Keane,39,"(1, 0, 0)",14.070865426677537
Defender,7920,Rafael,41,"(1, 1, 0)",14.097776527864
Defender,7938,A. Valencia,38,"(1, 1, 0)",15.196630547400936
Defender,7939,A. Young,42,"(1, 1, 0)",14.999897857506046
Defender,7958,M. Kelly,31,"(0, 1, 1)",14.170124214038045
Defender,7978,P. Dummett,39,"(1, 1, 0)",14.189715228267309
Defender,7982,D. Santon,28,"(0, 1, 1)",14.822599998297303
Defender,8004,C. Clark,86,"(0, 1, 1)",13.582266987073588
