role,player_id,player,n_obs,arima_order,arima_next_forecast,hybrid_next_forecast
Defender,36,T. Alderweireld,109,"(0, 1, 1)",6.724878369367673,6.724885894454076
Defender,48,J. Vertonghen,109,"(1, 1, 0)",16.330290849673204,16.331538002359324
Defender,74,R. Klavan,35,"(1, 1, 0)",9.657213576444924,9.643298644879401
Defender,77,N. Moisander,30,"(0, 1, 1)",15.169369533527696,15.166382789481485
Defender,102,Marcelo,40,"(1, 1, 0)",13.80166475269467,13.824156252476278
Defender,107,E. Pieters,38,"(1, 0, 0)",13.160358072122603,13.009191811880141
Defender,110,J. Willems,37,"(0, 1, 1)",21.358000952155454,21.3686596037458
Defender,130,S. de Vrij,37,"(0, 1, 1)",11.644042220634915,11.738778044206597
Defender,132,T. Kongolo,30,"(0, 1, 1)",5.029933244406988,5.025317453265001
Defender,134,B. Martins Indi,36,"(1, 1, 0)",7.2268528004318435,7.228874716642495
Defender,159,J. Gouweleeuw,38,"(1, 1, 0)",17.128689162930055,17.174282923837705
Defender,160,D. Janmaat,39,"(0, 1, 1)",15.671048722519313,15.668100244655047
Defender,192,J. Vukovi\u0107,13,"(1, 1, 0)",10.032607890287526,10.032607890287526
Defender,254,R. Rosales,37,"(1, 1, 0)",12.37509799735692,12.489294104148417
Defender,284,M. van der Hoorn,37,"(1, 0, 0)",14.143487445032484,14.52057643882025
Defender,340,Cuco Martina,29,"(1, 1, 0)",14.752525252525253,14.741563652877254
Defender,370,V. van Dijk,34,"(1, 1, 0)",12.469399881164588,12.476240534882105
Defender,394,B. Nuytinck,38,"(0, 1, 1)",12.098625954198477,12.094613230745134
Defender,454,P. van Aanholt,38,"(0, 1, 1)",14.010819553887526,13.80044901326863
Defender,703,M. Yoshida,46,"(1, 1, 0)",15.500222816399289,15.306008487275792
Defender,1712,K. Tete,31,"(1, 1, 0)",18.420945521577547,18.412521246954153
Defender,3269,Jordi Alba,107,"(0, 1, 1)",7.149684084620272,7.149684889282977
Defender,3270,Barrag\u00e1n,37,"(0, 1, 1)",19.220646538578837,19.215782143914073
Defender,3277,V\u00edctor Ru\u00edz,38,"(0, 1, 1)",12.746492833180849,12.759537488503877
Defender,3278,Bruno Saltor,38,"(0, 1, 1)",12.032679738562091,12.032672869126781
Defender,3300,Albiol,38,"(1, 0, 0)",14.158950150448836,13.971324861485519
Defender,3304,Nacho,43,"(0, 1, 1)",11.615355291247331,11.612577893614732
Defender,3306,Sergio Ramos,107,"(0, 1, 1)",5.930876185217044,5.93091270423784
Defender,3308,Pedro Mendes,41,"(1, 1, 0)",17.425795372888754,17.43570737199516
Defender,3309,R. Varane,43,"(1, 0, 0)",12.084327754230344,12.03720020935043
Defender,3310,Marcelo,45,"(0, 1, 1)",22.300930161634643,22.295388583699424
Defender,3334,Dani Alves,38,"(0, 1, 1)",20.649138712601992,20.64688049750242
Defender,3335,Bartra,39,"(1, 1, 0)",10.582407557066295,10.598705292340133
Defender,3339,Montoya,35,"(0, 1, 1)",10.44167429094236,10.443806378888299
Defender,3340,Muniesa,35,"(0, 1, 1)",14.621021195673611,14.61022719683614
Defender,3341,Piqu\u00e9,107,"(0, 1, 1)",6.225375434472546,6.225402957848593
Defender,3347,Sergi Roberto,35,"(0, 1, 1)",15.724763647453493,15.721670076982683
Defender,3351,Kiko Femen\u00eda,37,"(1, 1, 0)",14.17654486036839,14.17452522031011
Defender,3408,Saborit,36,"(0, 1, 1)",17.399366768122455,17.408338593364498
Defender,3421,De Marcos,38,"(0, 1, 1)",12.676697222347697,12.674628538842638
Defender,3431,Jo\u00e3o Miranda,46,"(1, 1, 0)",11.999404580152676,11.994706884778187
Defender,3433,D. God\u00edn,44,"(0, 1, 1)",19.22842329978652,19.227100397047472
Defender,3436,Javi Manquillo,28,"(0, 1, 1)",12.105392156862743,12.11421462776614
Defender,3447,Juanfran,100,"(0, 1, 1)",6.972569181882367,6.9725546946940575
Defender,3460,Coke,29,"(0, 1, 1)",0.7888595604618508,0.7913385772427041
Defender,3463,F. Fazio,39,"(1, 1, 0)",20.072291424936385,20.20574828094873
Defender,3465,Fernando Navarro,35,"(1, 1, 0)",12.629857744024282,12.63240272824574
Defender,3466,Alexis,38,"(0, 1, 1)",12.295135712107353,12.299813506981067
Defender,3468,Juan Cala,22,"(0, 1, 1)",9.96012503812138,9.96012503812138
Defender,3496,Sergio Postigo,38,"(0, 1, 1)",9.844007319304668,9.836064851376735
Defender,3523,F. Lejeune,39,"(1, 1, 0)",16.423128342245988,16.420860504721574
Defender,3526,M. Musacchio,34,"(1, 1, 0)",12.553139371946715,12.486477954462432
Defender,3529,Mario,34,"(1, 1, 0)",21.16674418013622,21.15743450831701
Defender,3534,Jaume Costa,38,"(0, 1, 1)",17.262198841110095,17.264704784289226
Defender,3560,Nacho Monreal,38,"(0, 1, 1)",11.061423054070112,11.058747058839437
Defender,3642,Ramis,33,"(1, 1, 0)",12.538083495850692,12.539726870412956
Defender,3671,\u00cd\u00f1igo Mart\u00ednez,34,"(0, 1, 1)",12.358493443122905,12.355166371456187
Defender,3692,Bernardo Espinosa,38,"(0, 1, 1)",12.737205855443737,12.736412122741005
Defender,3695,\u00c1lvaro Gonz\u00e1lez,38,"(0, 1, 1)",15.751914235369862,15.766320335285366
Defender,3750,Balenziaga,36,"(0, 1, 1)",14.311594103276692,14.311671499907932
Defender,3788,Jordi Amat,35,"(1, 1, 0)",15.985971332723397,15.978529186183708
Defender,3795,H. Moreno,40,"(1, 1, 0)",3.164750096873358,3.1674682623902113
Defender,3806,Javi L\u00f3pez,39,"(0, 1, 1)",15.956509706563816,15.960689445025787
Defender,3827,Hugo Mallo,39,"(0, 1, 1)",15.579899867845889,15.581334417535182
Defender,3828,Ra\u00fal Navas,38,"(0, 1, 1)",10.63464470875267,10.634371212840119
Defender,3885,L. Cabrera,35,"(0, 1, 1)",6.148473311717182,6.140455637628704
Defender,3916,G. Cabral,37,"(0, 1, 1)",13.190530649588291,13.188246450588887
Defender,3920,Pedro L\u00f3pez,33,"(1, 1, 0)",18.433163852230116,18.490883496389195
Defender,3970,G\u00e1lvez,35,"(0, 1, 1)",21.672156145166205,21.66916546721344
Defender,4065,J. Murillo,37,"(0, 1, 1)",7.69307202573349,7.691204388695259
Defender,4094,Ander Capa,35,"(1, 1, 0)",17.691369319914607,17.728021367101697
Defender,4180,Lomb\u00e1n,32,"(1, 1, 0)",7.851767973942385,7.843005957049952
Defender,4238,M\u00edchel,38,"(0, 1, 1)",12.689615736505033,12.68203185757065
Defender,4272,Ximo Navarro,39,"(0, 1, 1)",12.367475729389042,12.37340709189877
