role,player_id,player,n_obs,arima_order,arima_next_forecast,hybrid_next_forecast
Defender,214628,J. Amavi,38,"(1, 1, 0)",24.26669688727712,24.272729950211996
Defender,26307,A. Mandi,38,"(0, 1, 1)",24.133716004201823,24.14010469824975
Defender,263766,Jemerson,41,"(1, 1, 0)",22.75574821194722,23.578723430243272
Defender,8460,A. Smith,31,"(1, 1, 0)",22.917186571598336,23.14077576839952
Defender,344864,C. S\u00f6y\u00fcnc\u00fc,33,"(1, 1, 0)",22.97778779280567,23.00751963642621
Defender,8306,A. Kolarov,43,"(1, 1, 0)",22.917978592027143,22.922875009287313
Defender,6210,Aday,38,"(0, 1, 1)",22.330054894784997,22.32043170998485
Defender,3310,Marcelo,45,"(0, 1, 1)",22.300930161634643,22.295388583699424
Defender,236528,N. Elvedi,37,"(1, 1, 0)",22.32354632329122,22.258311408869186
Defender,252365,D. Yedlin,34,"(1, 1, 0)",22.203886329679268,22.203032299427765
Defender,213308,J. Alonso,40,"(0, 1, 1)",22.06222902185957,22.058283791353208
Defender,284960,L. Venuti,36,"(0, 1, 1)",21.976183206106867,21.975644961263384
Defender,25864,L. Perrin,41,"(0, 1, 1)",21.681058171294286,21.948830369017674
Defender,21842,C. Biraghi,37,"(1, 1, 0)",21.94851472434266,21.945371682016688
Defender,344178,P. Retsos,32,"(1, 1, 0)",21.92065766127613,21.93071008892563
Forward,3359,L. Messi,45,"(0, 1, 1)",37.37485513032168,37.373055889613326
Forward,21174,E. Cavani,47,"(0, 1, 1)",36.45576588337685,36.45326458936001
Forward,301017,M. Thuram,40,"(1, 1, 0)",35.89952132288947,36.115066589756154
Forward,14705,N. F\u00fcllkrug,38,"(1, 0, 0)",34.90424429454877,35.875899603749055
Forward,278278,Munir,35,"(1, 1, 0)",35.54961728950923,35.548044265191606
Forward,86338,L. Ocampos,39,"(1, 1, 0)",35.39608355091384,35.40024384429178
Forward,208696,M. Politano,38,"(1, 1, 0)",35.3368663028153,35.33754217478357
Forward,230883,Ayoze P\u00e9rez,39,"(1, 1, 0)",34.883860153256705,34.96088050037508
Forward,377071,Richarlison,39,"(1, 1, 0)",34.67823852969349,34.64049575103462
Forward,8148,Iago Falqu\u00e9,38,"(1, 1, 0)",34.27986803565745,34.28897939537291
Forward,8326,M. Balotelli,39,"(1, 1, 0)",33.99364491864741,34.00003252491057
Forward,388267,L. Bailey,38,"(1, 1, 0)",33.882055035128815,33.80559242357276
Forward,120353,Mohamed Salah,45,"(1, 0, 0)",32.66283451315774,33.68886922594918
Forward,40810,Neymar,47,"(1, 1, 0)",33.67399912967798,33.65261997922775
Forward,237034,Gon\u00e7alo Guedes,47,"(1, 1, 0)",33.566118865375955,33.34291708386465
Midfielder,16110,K. Kampl,38,"(1, 1, 0)",34.97687479352494,34.97962858026763
Midfielder,235555,R. Loftus-Cheek,46,"(1, 1, 0)",34.41874674987,34.92398134898347
Midfielder,288091,Marco Asensio,45,"(0, 1, 1)",34.76959389549923,34.76777034354639
Midfielder,105338,H. Mkhitaryan,39,"(1, 1, 0)",33.7400802297127,33.72970555700181
Midfielder,8422,W. Zaha,38,"(1, 0, 0)",31.525416770759204,33.32737914640008
Midfielder,226200,M. Lazzari,35,"(0, 1, 1)",32.62509636295462,32.62819161911929
Midfielder,61962,Sung-Yeung Ki,36,"(1, 1, 0)",28.28003120124805,32.56789779365528
Midfielder,135913,Rony Lopes,41,"(1, 1, 0)",31.6489623156745,32.1782762376029
Midfielder,4278,Borja Garc\u00eda,38,"(0, 1, 1)",31.86200993705811,31.86439576197686
Midfielder,86301,L. Castro,38,"(0, 1, 1)",31.695655230596174,31.69425512121569
Midfielder,15524,H. \u00c7alhano\u011flu,101,"(1, 1, 0)",31.46885545556805,31.485975064387535
Midfielder,7906,Juan Mata,38,"(1, 1, 0)",31.41972178887156,31.414101984031024
Midfielder,38021,K. De Bruyne,109,"(1, 1, 0)",31.119577483099324,31.11604018119387
Midfielder,27646,P. Capelle,40,"(0, 1, 1)",30.847127383921553,30.94022630748551
Midfielder,15317,L. Bittencourt,36,"(1, 1, 0)",30.89740990926745,30.905879893202805
