player_id,shortName,role_clean,xgb_forecast_next5
25849,F. Ghoulam,Defender,14.89667
218971,A. Lazaar,Defender,13.649831
397028,D. Zagadou,Defender,12.972225
250899,Carlos Vigaray,Defender,14.471974
25423,M. Bi\u0161evac,Defender,13.29594
3735,Juankar,Defender,13.914806
21872,L. Antei,Defender,14.912787
22152,M. Gazzola,Defender,14.990328
5383,To\u00f1o,Defender,14.7398205
25427,C. Jallet,Defender,14.192461
258263,V. Jovanovi\u0107,Defender,14.068021
3337,Font\u00e0s,Defender,14.233215
15039,K. Rausch,Defender,13.892881
255732,P. Lienhart,Defender,13.105805
18579,M. Halstenberg,Defender,14.006735
282799,S. Posch,Defender,13.948434
25589,L. San\u00e9,Defender,13.743483
8268,B. Assou-Ekotto,Defender,14.0255375
21578,G. Di Chiara,Defender,15.472562
21162,P. Cannavaro,Defender,13.393185
37726,C. Mbemba,Defender,13.982317
8186,S. Dann,Defender,13.785107
137048,S. Simi\u010d,Defender,13.583441
22614,F. Lucioni,Defender,13.580474
65254,K. Wimmer,Defender,13.8587675
8553,W. Reid,Defender,13.545006
3644,Bigas,Defender,14.670311
134951,L. Lacroix,Defender,13.612148
25452,S. Corchia,Defender,15.3640175
25784,A. Abdennour,Defender,13.523698
3468,Juan Cala,Defender,13.608416
7892,David Luiz,Defender,14.596901
64966,M. Suttner,Defender,14.344825
38079,D. Opare,Defender,14.991121
25878,T. Heurtaux,Defender,13.95226
272338,L. Kl\u00fcnter,Defender,14.433786
278867,S. Janko,Defender,14.639403
83575,V. Chiriche\u0219,Defender,14.106978
228639,Y. Gerhardt,Defender,14.126873
3791,Z. Feddal,Defender,13.996024
8004,C. Clark,Defender,13.752585
8516,P. Bardsley,Defender,14.157517
8362,G. McAuley,Defender,13.563294
9164,C. Taylor,Defender,14.718425
70085,E. Mangala,Defender,14.30038
298212,Dalbert,Defender,14.659526
189821,M. Zeegelaar,Defender,15.079245
15449,M. Mavraj,Defender,14.585384
286825,J. Kenny,Defender,14.495306
49979,D. Pavlovic,Defender,13.393185
20609,A. Costa,Defender,14.034181
224965,R. Framberger,Defender,14.732532
70981,Mar\u00e7al,Defender,15.102692
20866,D. Astori,Defender,14.371966
27958,T. Pellenard,Defender,13.982424
3436,Javi Manquillo,Defender,13.415544
340,Cuco Martina,Defender,13.917648
77546,A. Williams,Defender,13.389111
397168,T. Fosu-Mensah,Defender,13.264003
22677,G. Angella,Defender,14.514222
292654,M. Diakhaby,Defender,13.85702
